code,label_ja,label_hierarchical
911.34,安永・天明期：炭太祇，与謝蕪村，堀麦水，加藤暁台，大島蓼太,詩歌/俳諧．俳句/安永・天明期：炭太祇，与謝蕪村，堀麦水，加藤暁台，大島蓼太
911.35,文化・文政・天保期：小林一茶，成田蒼＊，桜井梅室,詩歌/俳諧．俳句/文化・文政・天保期：小林一茶，成田蒼＊，桜井梅室
911.36,近代：明治以後,詩歌/俳諧．俳句/近代：明治以後
911.362,俳人伝・研究,俳諧．俳句/近代：明治以後/俳人伝・研究
911.367,複数作家の句集,俳諧．俳句/近代：明治以後/複数作家の句集
911.368,個人句集,俳諧．俳句/近代：明治以後/個人句集
911.38,近代連句,俳諧．俳句/近代：明治以後/近代連句
911.4,川柳．狂句,日本文学/詩歌/川柳．狂句
911.45,近世：江戸時代,詩歌/川柳．狂句/近世：江戸時代
911.46,近代：明治以後,詩歌/川柳．狂句/近代：明治以後
911.467,複数作家の句集,川柳．狂句/近代：明治以後/複数作家の句集
911.468,個人句集,川柳．狂句/近代：明治以後/個人句集
911.49,雑俳：前句付，冠付，物は付，沓付，折句,詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句
911.5,詩：新体詩，近代詩，現代詩,日本文学/詩歌/詩：新体詩，近代詩，現代詩
911.52,詩史．詩人伝・研究,詩歌/詩：新体詩，近代詩，現代詩/詩史．詩人伝・研究
911.56,個人詩集,詩歌/詩：新体詩，近代詩，現代詩/個人詩集
911.568,複数作家の詩集,詩歌/詩：新体詩，近代詩，現代詩/複数作家の詩集
911.58,児童詩．童謡,詩歌/詩：新体詩，近代詩，現代詩/児童詩．童謡
911.59,訳詩集,詩歌/詩：新体詩，近代詩，現代詩/訳詩集
911.6,歌謡,日本文学/詩歌/歌謡
911.63,古代：平安時代まで,詩歌/歌謡/古代：平安時代まで
911.64,中世：鎌倉・室町時代,詩歌/歌謡/中世：鎌倉・室町時代
911.65,近世：江戸時代,詩歌/歌謡/近世：江戸時代
911.66,近代：明治以後,詩歌/歌謡/近代：明治以後
911.9,漢詩,日本文学/詩歌/漢詩
912,戯曲,日本文学/戯曲
912.2,舞の本,日本文学/戯曲/舞の本
912.3,謡曲,日本文学/戯曲/謡曲
912.39,狂言,日本文学/戯曲/狂言
912.4,浄瑠璃：近松門左衛門，紀海音,日本文学/戯曲/浄瑠璃：近松門左衛門，紀海音
912.5,歌舞伎：鶴屋南北，河竹黙阿弥,日本文学/戯曲/歌舞伎：鶴屋南北，河竹黙阿弥
912.6,近代戯曲,日本文学/戯曲/近代戯曲
912.68,複数作家の作品集,戯曲/近代戯曲/複数作家の作品集
