grouping_title,bib_uri,NDLBibID,title_full,title_main,title_transcription,title_alternative,creators_name,creators_transcription,publisher_name,publisher_transcription,publisher_location,date,issued,ndc_raw,subjects_free,language,extent,material_type,access_rights,rights,audience,see_also,iiif_manifest,thumbnail,approx_count
芙蓉百律,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283622#material,000003283622; 000003283622,芙蓉百律,芙蓉百律,フヨウ ヒャクリツ,,"仁科, 白谷, 1791-1845; 岡, 天民, 江戸末期","ニシナ, ハッコク, 1791-1845; オカ, テンミン, エド マッキ",,,,天保8(1837),1837,919; 919.5,富士山 フジサン; 漢詩,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283622; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283622,,,1
芭蕉翁終焉記,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389675#material,,芭蕉翁終焉記,芭蕉翁終焉記,バショウオウシュウエンキ,芭蕉翁反古文一名花屋日記,文暁∥著,ブンギョウ,栖霍庵眠芝「手写」,セイカクアンミンシ,,1825(文政8),1825-01-01,911.3,,jpn,25cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389675,,,1
芭蕉翁附合集評註,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389726#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389727#material,,芭蕉翁附合集評註 上; 芭蕉翁附合集評註 下,芭蕉翁附合集評註,バショウオウツケアイシュウヒョウチュウ,,篤老∥編,トクロウ,河内屋嘉七,カワチヤカシチ,大阪,1815(文化12),1815-01-01,911.3,,jpn,15cm; 99丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389726; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389727,,,2
花のしたふし,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284560#material,000003284560; 000003284560,花のしたふし,花のしたふし,ハナ ノ シタブシ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,安政4(1857)序,1857,915.5,紀行,jpn,5冊 ; 26cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284560; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284560,,,1
花封莟玉章,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736845#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736846#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736847#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736848#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736849#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736850#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736851#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736852#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736853#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736854#material,,花封莟玉章 三編上; 花封莟玉章 三編下; 花封莟玉章 二編上; 花封莟玉章 二編下; 花封莟玉章 五編上; 花封莟玉章 五編下; 花封莟玉章 初編上; 花封莟玉章 初編下; 花封莟玉章 四編上; 花封莟玉章 四編下,花封莟玉章,ハナノフウジメツボミノタマズサ,,三亭春馬∥著歌川国貞∥画,"サンテイ,シュンバウタガワ,クニサダ",蔦屋吉蔵,ツタヤ/ヨシゾウ,東都,1860(万延1)序; 1861(文久1)序,1860-01-01; 1861-01-01,913.57,,jpn,18×12cm; 10丁; 18×12cm; 9丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736845; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736846; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736847; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736848; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736849; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736850; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736851; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736852; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736853; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736854,,,10
花裘狐草子,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001737075#material,,花裘狐草子 二編下,花裘狐草子,ハナゴロモキツネノソウシ,,仮名垣魯文∥著歌川芳虎∥画,"カナガキ,ロブンウタガワ,ヨシトラ",錦橋堂山田屋庄次郎,キンキョウドウ/ヤマダヤ/ショウジロウ,江戸,1862(文久2)序,1862-01-01,913.57,,jpn,18×12cm; 10丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001737075,,,1
花裘狐草紙,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279688#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559401#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559402#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559403#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559404#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559405#material; https://ndlsearch.ndl.go.jp/books/R100000039-I2559406#material,000003279688; 000003279688,花裘狐草紙 3編12巻; 花裘狐草紙 3編12巻 [1]; 花裘狐草紙 3編12巻 [2]; 花裘狐草紙 3編12巻 [3]; 花裘狐草紙 3編12巻 [4]; 花裘狐草紙 3編12巻 [5]; 花裘狐草紙 3編12巻 [6],花裘狐草紙 3編12巻,ハナゴロモ キツネ ノ ソウシ,狐,"仮名垣, 魯文, 1829-1894; 歌川, 芳虎, 江戸末期-明治時代","カナガキ, ロブン, 1829-1894; ウタガワ, ヨシトラ, エド マッキ-メイジ ジダイ",錦橋堂山田屋庄次郎,,江戸,文久2-3 [1862-1863],1862; 1863,913.57,合巻,jpn,6冊 ; 18cm,和古書,インターネット公開,pdm; PDM,一般,http://id.ndl.go.jp/bib/000003279688; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279688; http://id.ndl.go.jp/digimeta/2559401; https://doi.org/10.11501/2559401; https://dl.ndl.go.jp/pid/2559401; https://dl.ndl.go.jp/api/iiif/2559401/manifest.json; http://id.ndl.go.jp/digimeta/2559402; https://doi.org/10.11501/2559402; https://dl.ndl.go.jp/pid/2559402; https://dl.ndl.go.jp/api/iiif/2559402/manifest.json; http://id.ndl.go.jp/digimeta/2559403; https://doi.org/10.11501/2559403; https://dl.ndl.go.jp/pid/2559403; https://dl.ndl.go.jp/api/iiif/2559403/manifest.json; http://id.ndl.go.jp/digimeta/2559404; https://doi.org/10.11501/2559404; https://dl.ndl.go.jp/pid/2559404; https://dl.ndl.go.jp/api/iiif/2559404/manifest.json; http://id.ndl.go.jp/digimeta/2559405; https://doi.org/10.11501/2559405; https://dl.ndl.go.jp/pid/2559405; https://dl.ndl.go.jp/api/iiif/2559405/manifest.json; http://id.ndl.go.jp/digimeta/2559406; https://doi.org/10.11501/2559406; https://dl.ndl.go.jp/pid/2559406; https://dl.ndl.go.jp/api/iiif/2559406/manifest.json,https://dl.ndl.go.jp/api/iiif/2559401/manifest.json; https://dl.ndl.go.jp/api/iiif/2559402/manifest.json; https://dl.ndl.go.jp/api/iiif/2559403/manifest.json; https://dl.ndl.go.jp/api/iiif/2559404/manifest.json; https://dl.ndl.go.jp/api/iiif/2559405/manifest.json; https://dl.ndl.go.jp/api/iiif/2559406/manifest.json,https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559401; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559402; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559403; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559404; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559405; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/2559406,7
花鏡謌集,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283445#material,000003283445; 000003283445,花鏡謌集,花鏡謌集,ハナカガミ カシュウ,,"岩雲, 花香, 1792-1869","イワクモ, ハナカ, 1792-1869",,,,嘉永4(1851)序,1851,911.15,歌集,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283445; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283445,,,1
芳新集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389754#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001628131#material,,芳新集 4編,芳新集,ホウシンシュウ,,五仲庵有節∥編,ゴチュウアンユウセツ,湖雲堂,コウンドウ,皇都,1849(嘉永2),1849-01-01,911.3,,jpn,23cm; 55丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389754; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001628131,,,1
芳野日記,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390716#material,,芳野日記,芳野日記,ヨシノニッキ,,氷室長翁∥著,ヒムロチョウオウ,氷室長翁,ヒムロチョウオウ,,1848(嘉永1),1848-01-01,915.5,,jpn,26cm; 38丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390716,,,1
