grouping_title,bib_uri,NDLBibID,title_full,title_main,title_transcription,title_alternative,creators_name,creators_transcription,publisher_name,publisher_transcription,publisher_location,date,issued,ndc_raw,subjects_free,language,extent,material_type,access_rights,rights,audience,see_also,iiif_manifest,thumbnail,approx_count
俳諧百画賛,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279670#material,000003279670; 000003279670,俳諧百画賛 : 2巻,俳諧百画賛 : 2巻,ハイカイ ヒャクガサン,,"風悟, 1732-1815; 谷, 世達","フウゴ, 1732-1815; タニ, セイタツ",帯屋伊兵衛 [ほか],,若山,文化13(1816),1816,911.3,俳諧,jpn,2冊 ; 27cm,和古書,,,,http://id.ndl.go.jp/bib/000003279670; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279670,,,1
俳諧種瓢,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724081#material,,俳諧種瓢 全,俳諧種瓢,ハイカイタネヒサゴ,,,,,,,1853(嘉永6)年,1853-01-01,911.3,月明文庫 ゲツメイブンコ,jpn,16×22cm; 133丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724081,,,1
俳諧苔の花,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389686#material,,俳諧苔の花,俳諧苔の花,ハイカイコケノハナ,,巴明∥著,ハメイ,巴明,ハメイ,,1833(天保4),1833-01-01,911.3,,jpn,22cm; 40丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389686,,,1
俳諧裾野集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001100075#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001100085#material,,俳諧裾野集 上; 俳諧裾野集 下,俳諧裾野集,ハイカイスソノシュウ,,瓦松菴肆山∥著,ガショウアンシザン,万笈堂,バンキュウドウ,江戸,1848(嘉永1),1848-01-01,911.3,,jpn,18cm; 19丁; 18cm; 46丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001100075; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001100085,,,2
俵藤太竜宮蜃話,https://ndlsearch.ndl.go.jp/books/R100000002-I000003280384#material,000003280384; 000003280384,俵藤太竜宮蜃話 : 3巻,俵藤太竜宮蜃話 : 3巻,タワラ トウダ リュウグウ シンワ,,"仮名垣, 魯文, 1829-1894; 落合, 芳幾, 1833-1904","カナガキ, ロブン, 1829-1894; オチアイ, ホウキ, 1833-1904",森屋治兵衛,,江戸,安政7(1860),1860,913.55,滑稽本,jpn,1冊 ; 18cm,和古書,,,,http://id.ndl.go.jp/bib/000003280384; https://ndlsearch.ndl.go.jp/books/R100000002-I000003280384,,,1
倭歌諸説,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284956#material,000003284956; 000003284956,倭歌諸説,倭歌諸説,ヤマトウタ ショセツ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[文久年間],1800,911.1; 911.304,和歌∥歌論・歌話 ワカ∥カロンカワ; 和歌・考証,jpn,1冊 ; 26cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284956; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284956,,,1
假名反古一休草紙,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000429#material,,假名反古一休草紙 16編 (存4編),假名反古一休草紙 16編 (存4編),カナ ホウゴ イッキュウ ゾウシ,かなほふご一休さうし; 假名反古一休さうし; 歌那保有娯一休沙宇志; 一休草紙; イッキュウ ソウシ; かなほうこ一休さうし; カナ ホウコ イッキュウ ソウシ; 假名ほうこ一休さうし; かなほうご一休さうし; 一休; イッキュウ,"柳下亭, 種員; 一雄齋, 國輝; 一壽斎, 國貞","リュウカテイ, タネカズ; イチユウサイ, クニテル; イチジュサイ, クニサダ",甘泉堂和泉屋市兵衛,,,1852,1852,913.57,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000429; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000429.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000429/112961.tiff/full/90,/0/default.jpg",1
偐紫田舎源氏,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284186#material; https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000431#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724416#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724417#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724418#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724419#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724420#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724541#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724542#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001724543#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001737002#material,000003284186; 000003284186,偐紫田舎源氏 (存5編); 偐紫田舎源氏 : 38編; 偐紫田舎源氏 七編上; 偐紫田舎源氏 三十一編上; 偐紫田舎源氏 九編上; 偐紫田舎源氏 二十二編上; 偐紫田舎源氏 二十五編上; 偐紫田舎源氏 二十八編上; 偐紫田舎源氏 十三編上; 偐紫田舎源氏 十九編上; 偐紫田舎源氏 十編上,偐紫田舎源氏; 偐紫田舎源氏 (存5編); 偐紫田舎源氏 : 38編,ニセムラサキ イナカ ゲンジ; ニセムラサキイナカゲンジ,似世紫田舎源氏; にせむらさきいなかけんし; 田舎けんし; イナカ ゲンジ; 偽むらさき田舎けんし; 田舎源氏; 源氏; ゲンジ,"柳亭, 種彦 1世, 1783-1842; 歌川, 豊国 3世, 1786-1864; 柳亭種彦∥著歌川国貞∥画; 種彦; 國貞","タネヒコ; クニサダ; リュウテイ, タネヒコ 1セイ, 1783-1842; ウタガワ, トヨクニ 3セイ, 1786-1864; リュウテイ,タネヒコウタガワ,クニサダ",仙隺堂; 仙鶴堂鶴屋喜右衛門; 鶴屋喜右衛門,センカクドウ/ツルヤ/キエモン,江戸,1832(天保3)序; 1833(天保4)序; 1834(天保5)序; 1836(天保7)序; 1838(天保9)序; 1839(天保10)序; 1840; 文政12～天保13(1829～1842),1832-01-01; 1833-01-01; 1834-01-01; 1836-01-01; 1838-01-01; 1839-01-01; 1840; 1842,913.57; 913.58,合巻,jpn,18×12cm; 10丁; 18×12cm; 9丁; 76冊 (合22冊) ; 18cm,和古書; 図書; 和古書,インターネット公開,著作権なし-契約による制限あり,一般,http://id.ndl.go.jp/bib/000003284186; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284186; https://dgcl.doshisha.ac.jp/digital/collections/MD00000431; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000431.json; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724416; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724417; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724418; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724419; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724420; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724541; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724542; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001724543; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001737002,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000431/113200.tiff/full/90,/0/default.jpg",11
傍廂,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390332#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390333#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390334#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390335#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390336#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390337#material,,傍廂 前集1; 傍廂 前集2; 傍廂 前集3; 傍廂 後集1; 傍廂 後集2; 傍廂 後集3,傍廂,カタビサシ,,斎藤彦麿∥著,サイトウヒコマロ,文永堂,ブンエイドウ,江戸,1861(万延2),1861-01-01,914.5,,jpn,"26cm; 2,23丁; 26cm; 24丁; 26cm; 25丁; 26cm; 28丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390332; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390333; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390334; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390335; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390336; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390337,,,6
児読古状揃証註,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB110458264#material,,児読古状揃証註,児読古状揃証註,ジドクコジョウゾロエショウチュウ,,高井蘭山∥著,タカイランザン,須原屋伊八,スハラヤイハチ,江戸,天保10,,913.5,,jpn,26cm; 59丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B110458264,,,1
八まん祭りよみやのにきはひ,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000421#material,,八まん祭りよみやのにきはひ (存3編),八まん祭りよみやのにきはひ (存3編),ハチマンマツリ ヨミヤ ノ ニギワイ,八幡まつりよみやのにきはひ; ハチマン マツリ ヨミヤ ノ ニギワイ; 八幡祭小望月賑; 八まん祭よみやの賑; 八幡祭小望月にぎわひ; 八幡; ハチマン; 八幡まつり; ハチマン マツリ,河竹; 一瓢; 國貞,カワタケ; イッペイ; クニサダ,紅英堂,,,1860,1860,912.5,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000421; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000421.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000421/110250.tiff/full/90,/0/default.jpg",1
八十浦之玉,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283036#material,000003283036; 000003283036,八十浦之玉. 上巻,八十浦之玉,ヤソウラ ノ タマ,和哥八十浦之玉,"本居, 大平, 1756-1833","モトオリ, オオヒラ, 1756-1833",綛田屋平右衛門 [ほか],,若山,天保4(1833),1833,911.15; 911.157,和歌∥歌集 ワカ∥カシュウ; 歌集,jpn,2冊 (合1冊) ; 27cm,和古書,,,,http://id.ndl.go.jp/bib/000003283036; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283036,,,1
八十翁むかし話,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390430#material,,八十翁むかし話,八十翁むかし話,ハチジュウオウムカシバナシ,,新見正朝∥著,シンミマサトモ,,,,1837(天保8),1837-01-01,914.5,,jpn,26×18cm; 44丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390430,,,1
八犬伝後日譚,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736977#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001736978#material,,八犬伝後日譚 六編上; 八犬伝後日譚 六編下,八犬伝後日譚,ハッケンデンゴニチモノガタリ,,為永春水∥著歌川国芳∥画,"タメナガ,シュンスイウタガワ,クニヨシ",山本屋平吉,ヤマモトヤ/ヘイキチ,江戸,1856(安政3)序,1856-01-01,913.57,,jpn,18×12cm; 10丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736977; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001736978,,,2
六如菴詩鈔,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB108802492#material,,六如菴詩鈔,六如菴詩鈔,リクニョアンシショウ,,六如∥著苗村子柔∥輯,"リクニョナエムラ,シジュウ",[河崎氏](写),カワサキシ,,1835,1835-01-01,919.5,,jpn,24cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B108802492,,,1
六帖和歌並風俗和歌,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279637#material,000003279637; 000003279637,六帖和歌並風俗和歌,六帖和歌並風俗和歌,ロクジョウ ワカ ナラビニ フウゾク ワカ,近江丹波六帖和歌並風俗和歌,,,写,,,[江戸後期],1800,911.15,和歌,jpn,1冊 ; 23cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003279637; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279637,,,1
六帖詠草,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415854#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415855#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415856#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415857#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415858#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415859#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415860#material,,六帖詠草 [1] 春歌; 六帖詠草 [2] 夏歌; 六帖詠草 [3] 秋歌; 六帖詠草 [4] 冬歌; 六帖詠草 [5] 恋歌; 六帖詠草 [6] 雑歌; 六帖詠草 [7] 雑歌,六帖詠草,ロクジョウエイソウ,,小沢蘆庵∥著,オザワロアン,吉田四郎右衛門,ヨシダシロウエモン,京都,文化8,,91,,jpn,27cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415854; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415855; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415856; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415857; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415858; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415859; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415860,,,7
其由縁鄙俤,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000438#material,,其由縁鄙俤 23編92巻 (存2編8巻),其由縁鄙俤 23編92巻 (存2編8巻),ソノ ユカリ ヒナ ノ オモカゲ,そのゆかり鄙のおもかけ; 其由縁鄙の面影,仙果; 國貞,センカ; クニサダ,惠比壽屋庄七,,,1855,1855,913.59,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000438; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000438.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000438/113687.tiff/full/90,/0/default.jpg",1
円珠庵雑記,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390361#material,,円珠庵雑記,円珠庵雑記,エンジュアンザッキ,,釈契沖∥著加茂真淵∥標注岸本由豆流∥増注,シヤクケイチユウカモマブチキシモトユズル,万笈堂,バンキュウドウ,江戸,1812(文化9),1812-01-01,914.5,,jpn,27×18cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390361,,,1
円珠菴雑記,https://ndlsearch.ndl.go.jp/books/R100000002-I000003282918#material,000003282918; 000003282918,円珠菴雑記,円珠菴雑記,エンジュアン ザッキ,,"契沖, 1640-1701; 岸本, 由豆流, 1788-1846","ケイチュウ, 1640-1701; キシモト, ユズル, 1788-1846",英平吉,,江戸,文化9(1812),1812,914,日本語∥古語 ニホンゴ∥コゴ; 随筆,jpn,1冊 ; 27cm,和古書,,,,http://id.ndl.go.jp/bib/000003282918; https://ndlsearch.ndl.go.jp/books/R100000002-I000003282918,,,1
冠附かゞみ磨,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000563#material,,冠附かゞみ磨,冠附かゞみ磨,カサズケ カガミトギ,文化秀吟冠附かゝみ磨 : 全; ブンカ シュウギン カサズケ カガミトギ : ゼン; 冠附鏡磨; カサズケ カガミトギ; 冠附かがみ磨; カムリズケ カガミ トギ,"桐芽庵, 曲坡","トウガアン, キョクハ",藤屋徳兵衛,,,1814,1814,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000563; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000563.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000563/137305.tiff/full/90,/0/default.jpg",1
冠附名付親,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000568#material,,冠附名付親,冠附名付親,カムリズケ ナズケオヤ,文化秀吟冠附名付親 : 全; ブンカ シュウギン カムリズケ ナズケオヤ : ゼン,"草竹亭, 鬼力","ソウチクテイ, キリキ",藤家徳兵衛,,,1814,1814,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000568; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000568.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000568/137659.tiff/full/90,/0/default.jpg",1
冠附和田の松,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000560#material,,冠附和田の松,冠附和田の松,カムリズケ ワダ ノ マツ,弘化秀吟冠附和田の松 : 全; コウカ シュウギン カムリズケ ワダ ノ マツ : ゼン; 和田の松; ワダ ノ マツ; 冠附和田乃松; カムリズケ ワダ ノ マツ,"四徳菴, 梅洲; 雪光菴, 素洲; 羅山; 松諷亭, 琴史; 巴勢","シトクアン, バイシュウ; セッコウアン, ソシュウ; ラザン; ショウフウテイ, キンシ; ハセイ",油屋荘五郎,,,1845,1845,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000560; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000560.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000560/136820.tiff/full/90,/0/default.jpg",1
冠附後の栞,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000555#material,,冠附後の栞,冠附後の栞,カムリズケ ノチ ノ シオリ,文化秀詠冠附後の栞 : 全; ブンカ シュウエイ カムリズケ ノチ ノ シオリ : ゼン; 冠附後乃栞; カサズケ ノチ ノ シオリ,巴勢,ハセイ,藤屋徳兵衞,,,1816,1816,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000555; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000555.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000555/136421.tiff/full/90,/0/default.jpg",1
冠附机の塵,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000558#material,,冠附机の塵,冠附机の塵,カムリズケ ツクエ ノ チリ,冠附机之塵; カムリズケ ツクエ ノ チリ,"戯坊, 芦笛","ギボウ, ロテキ",伊丹屋善兵衞,,,1843,1843,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000558; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000558.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000558/136671.tiff/full/90,/0/default.jpg",1
冠附玉の光,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000559#material,,冠附玉の光,冠附玉の光,カムリズケ タマ ノ ヒカリ,冠吟玉の光; カンギン タマ ノ ヒカリ,"戯坊, 芦笛","ギボウ, ロテキ",河内屋茂兵衞,,,1844,1844,911.49,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000559; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000559.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000559/136741.tiff/full/90,/0/default.jpg",1
冬道翁遺稿,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279638#material,000003279638; 000003279638,冬道翁遺稿. 上,冬道翁遺稿,フユミチ オウ イコウ,,"間島, 冬道, 1827-1890","マジマ, フユミチ, 1827-1890",写,,,[江戸末期],1800,911.15,歌集,jpn,1冊 ; 28cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003279638; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279638,,,1
列女百人一首,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284971#material; https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000347#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389655#material,000003284971; 000003284971,列女百人一首,列女百人一首,レツジョ ヒャクニン イッシュ; レツジョヒャクニンイッシュ,列女百首; 烈女百人一首; 列女百首; レツジョ ヒャクシュ,"緑亭, 川柳, 1787-1858; 葛飾, 北斎, 1760-1849; 歌川, 豊国 3世, 1786-1864; 緑亭, 川柳; 葛飾, 北斎; 歌川, 国貞; 緑亭川柳∥著","リョクテイ, センリュウ, 1787-1858; カツシカ, ホクサイ, 1760-1849; ウタガワ, トヨクニ 3セイ, 1786-1864; リョクテイ, センリュウ; カツシカ, ホクサイ; ウタガワ, クニサダ; リョクテイセンリュウ",山口屋藤兵衛; 錦耕堂,キンコウドウ,[江戸]; 江戸,1847; 1847(弘化4); 弘化4(1847),1847; 1847-01-01,911.1; 911.108; 911.15; 911.157,和歌,jpn,18cm; 60丁; 1冊 ; 19cm,和古書; 図書; 和古書,インターネット公開,著作権なし-契約による制限あり,一般,http://id.ndl.go.jp/bib/000003284971; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284971; https://dgcl.doshisha.ac.jp/digital/collections/MD00000347; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000347.json; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389655,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000347/93772.tiff/full/90,/0/default.jpg",1
刪訂詩学貫珠,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724260#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724261#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724262#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724263#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724264#material,,刪訂詩学貫珠 一 首巻; 刪訂詩学貫珠 三; 刪訂詩学貫珠 二; 刪訂詩学貫珠 五 巻之四; 刪訂詩学貫珠 四,刪訂詩学貫珠,サンテイシガクカンジュ,,鎌田環斎∥著,"カマタ,カンサイ",敦賀屋九兵衛,ツルガヤ/キュウベエ,大阪,1831(天保2)年,1831-01-01,919,月明文庫 ゲツメイブンコ,jpn,"16×11cm; 3,36丁; 16×11cm; 49丁; 16×11cm; 58丁; 16×11cm; 59丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724260; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724261; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724262; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724263; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724264,,,5
前太平記図会,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389901#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389902#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389903#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389904#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389905#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389906#material,,前太平記図会 1; 前太平記図会 2; 前太平記図会 3; 前太平記図会 4; 前太平記図会 5; 前太平記図会 6,前太平記図会,ゼンタイヘイキズエ,,秋里籬嶋∥編西村中和∥画,アキザトリトウニシムラチユウワ,勝村治右衛門,カツムラジエモン,京都,1803(享和3),1803-01-01,913.5,,jpn,"25cm; 2,55丁; 25cm; 51丁; 25cm; 53丁; 25cm; 57丁; 25cm; 64丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389901; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389902; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389903; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389904; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389905; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389906,,,6
劇場訓蒙図彙,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB110457671#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB110457672#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB110457673#material,,劇場訓蒙図彙 1(1-2巻); 劇場訓蒙図彙 2(3-5巻); 劇場訓蒙図彙 3(6-8巻),劇場訓蒙図彙,シバイキンモウズイ,,式亭三馬∥作勝川春英∥画歌川豊国∥画,シキテイサンバカツカワシュンエイウタガワトヨクニ,上総屋忠助,カズサヤチュウスケ,江戸,文化3,,913.55,,jpn,"23cm; 10,12,11丁; 23cm; 11,6,7丁; 23cm; 7,15丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B110457671; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B110457672; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B110457673,,,3
加越能三州百人歌集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002452350#material,,加越能三州百人歌集,加越能三州百人歌集,カエツノウサンシュウヒャクニンカシュウ,,西南宮鶏馬∥編,セナミヤケイマ,西南宮鶏馬,セナミヤケイマ,金沢,1840,1840-01-01,911,,jpn,21cm; 56丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002452350,,,1
勅撰集外哥仙,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284478#material,000003284478; 000003284478,勅撰集外哥仙,勅撰集外哥仙,チョクセン シュウガイ カセン,,"後水尾天皇, 1596-1680","ゴミズノオ テンノウ, 1596-1680",松崎 写,,,文政11(1828),1828,911.149,和歌∥歌集 ワカ∥カシュウ; 和歌,jpn,1冊 ; 28cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284478; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284478,,,1
北条時頼記図会,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389886#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389887#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389888#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389889#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389890#material,,北条時頼記図会 1; 北条時頼記図会 2; 北条時頼記図会 3; 北条時頼記図会 4; 北条時頼記図会 5,北条時頼記図会,ホウジョウジライキズエ,,東籬亭悠翁∥編松川半山∥画,トウリテイユウオウマツカワハンザン,山城屋左兵衛,ヤマシロヤサヘエ,江戸,1848(嘉永1),1848-01-01,913.5,,jpn,26cm; 1冊; 26cm; 24丁; 26cm; 25丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389886; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389887; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389888; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389889; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389890,,,5
