year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1867,東海道膝栗毛,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,東貝 : 5巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1821,東風流六六歌仙人名録 : 初篇,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,柳〓雑筆,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,柳樽,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1832,栄花物語系図,古代後期［中古］：平安時代,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1851,校正七部集,日本文学,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1820,校異首書土佐日記全,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1843,桂の落葉 : 2巻,詩歌,江戸,35.6895,139.6917,香川 景樹,"35.6895,139.6917"
1835,桂園一枝,日本文学,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1800,桂林漫録,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1835,桧垣嫗家集補註 : 2巻,和歌．短歌,長崎,32.7503,129.8779,中島 広足,"32.7503,129.8779"
1860,梁塵後抄 4巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1855,梅園叢書,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1849,梅室両吟稿,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1839,梅室家集,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1828,梅室附合集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1806,梅窓筆記,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1823,梧窓漫筆,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1824,梧窓漫筆後篇 : 2巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1859,楢乃落葉 : 2巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1821,槻乃落葉信濃漫録,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1800,樺島浪風記,日本文学,大阪,34.6937,135.5023,中島 広足,"34.6937,135.5023"
1833,橋供養 : 5巻,小説．物語,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1826,橘庵漫筆,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1825,橘菴漫筆,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1800,橿園集,和歌．短歌,長崎,32.7503,129.8779,中島 広足,"32.7503,129.8779"
1849,歌俳百人撰,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1852,歌城歌集 : 4巻追加1巻,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1852,歌格類選,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1800,武稽百人一首,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1857,武蔵野集 : 2編,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1845,沙鴎発句集,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1862,河藻集,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1846,流行噺図絵,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1824,浅井三代軍記,日本文学,大阪,34.6937,135.5023,不明,"34.6937,135.5023"
1849,浪華四時雑詞,日本文学,大阪,34.6937,135.5023,不明,"34.6937,135.5023"
1825,消閑雑記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1820,清話抄 : 2巻,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1858,清輔雑談集 : 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1844,温泉土産 箱根草 : 〔和綴じ本〕,不明,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1836,源平拾遺,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1846,源氏一統志,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1825,源氏男女装束抄 : 2巻附1巻,古代後期［中古］：平安時代,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1809,滑稽江の島土産,日本文学,大阪,34.6937,135.5023,十返舎一九,"34.6937,135.5023"
1860,濡衣女鳴神,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1843,炭瓢集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1811,烹雑の記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1810,燕石雑志 : 5巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1811,燕石雑誌,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1818,犬夷評判記,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1851,狂歌問答,その他,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1831,狂歌略画三十六歌仙,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1848,狂言記 : 5巻続5巻拾遺5巻,日本文学,大阪,34.6937,135.5023,不明,"34.6937,135.5023"
1855,狂詩百色染,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1828,猿著聞集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1802,玉笈集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1858,琴声美人録,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1813,琴後集 : 15巻,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1840,瓊浦集 : 2巻,和歌．短歌,長崎,32.7503,129.8779,中島 広足,"32.7503,129.8779"
1802,田ことの日,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1813,田舎芝居忠臣蔵,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1841,画本柳樽,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1852,畸人百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
