year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1807,長月集,日本文学,京都,35.0116,135.7681,不明,"35.0116,135.7681"
1848,閑度雑談,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1803,閑田文草,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1806,閑田次筆,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1801,閑田耕筆,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1841,閑窓瑣談,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1833,附合双玉集,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1832,陶犬新書,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1844,随筆 : 6巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1802,隣女晤言 : 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1857,雑談雨夜質庫,小説．物語,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1800,雪のあけぼの,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1849,頼山陽先生手簡,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1849,類題和歌鴨川集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1846,類題年毎集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1852,類題武蔵野集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1804,饒舌録 : 2巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1825,駱駝之世界 : 2巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1813,骨董集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1845,鶏口集 : 2巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1822,鹿島日記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1855,黄金水大尽盃,小説．物語,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1867,鼠祠通夜譚,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
